iter	Passed	Remaining
401	16706	24852
402	16741	24800
403	16775	24747
404	16818	24708
405	16854	24658
406	16897	24620
407	16937	24575
408	16976	24531
409	17014	24484
410	17053	24438
411	17089	24389
412	17125	24341
413	17160	24289
414	17199	24245
415	17237	24199
416	17275	24152
417	17311	24103
418	17342	24047
419	17382	24003
420	17437	23982
421	17470	23928
422	17505	23878
423	17542	23831
424	17577	23781
425	17613	23732
426	17649	23683
427	17693	23645
428	17727	23595
429	17763	23546
430	17797	23496
431	17833	23448
432	17871	23401
433	17909	23357
434	17945	23308
435	17984	23263
436	18022	23219
437	18063	23177
438	18107	23139
439	18144	23093
440	18179	23044
441	18214	22994
442	18248	22944
443	18280	22891
444	18312	22839
445	18343	22785
446	18376	22734
447	18413	22687
448	18451	22642
449	18485	22593
450	18519	22543
451	18555	22497
452	18592	22450
453	18627	22402
454	18660	22351
455	18700	22309
456	18739	22265
457	18780	22224
458	18814	22176
459	18855	22134
460	18893	22090
461	18935	22049
462	18974	22006
463	19014	21964
464	19052	21920
465	19085	21870
466	19121	21823
467	19154	21773
468	19184	21720
469	19219	21673
470	19256	21628
471	19295	21584
472	19331	21538
473	19377	21503
474	19418	21462
475	19455	21417
476	19488	21368
477	19522	21320
478	19556	21270
479	19590	21222
480	19626	21177
481	19668	21137
482	19707	21095
483	19740	21045
484	19777	21000
485	19810	20952
486	19852	20912
487	19910	20889
488	19944	20842
489	19979	20795
490	20032	20767
491	20070	20723
492	20106	20677
493	20146	20635
494	20179	20587
495	20217	20544
496	20252	20497
497	20287	20450
498	20319	20401
499	20357	20357
500	20388	20306
501	20424	20262
502	20460	20216
503	20497	20171
504	20542	20135
505	20582	20094
506	20619	20050
507	20659	20009
508	20699	19967
509	20737	19924
510	20772	19877
511	20806	19831
512	20845	19789
513	20889	19751
514	20928	19709
515	20966	19666
516	21005	19624
517	21059	19595
518	21102	19557
519	21141	19515
520	21180	19473
521	21220	19431
522	21258	19389
523	21298	19347
524	21336	19304
525	21365	19253
526	21404	19210
527	21439	19165
528	21473	19119
529	21508	19073
530	21543	19028
531	21578	18982
532	21629	18950
533	21659	18901
534	21693	18855
535	21736	18816
536	21770	18770
537	21811	18730
538	21846	18685
539	21887	18644
540	21923	18600
541	21963	18559
542	22002	18517
543	22034	18469
544	22068	18424
545	22102	18378
546	22135	18331
547	22169	18285
548	22213	18248
549	22245	18200
550	22282	18157
551	22319	18114
552	22356	18071
553	22393	18028
554	22428	17983
555	22466	17941
556	22502	17896
557	22532	17848
558	22567	17803
559	22602	17759
560	22637	17714
561	22673	17671
562	22708	17626
563	22742	17581
564	22780	17538
565	22812	17492
566	22849	17449
567	22892	17410
568	22926	17366
569	22963	17323
570	23006	17285
571	23054	17250
572	23096	17211
573	23133	17168
574	23171	17127
575	23230	17100
576	23269	17058
577	23307	17016
578	23355	16982
579	23389	16937
580	23422	16891
581	23461	16850
582	23505	16812
583	23537	16766
584	23575	16724
585	23612	16681
586	23651	16640
587	23691	16599
588	23728	16557
589	23776	16522
590	23815	16481
591	23861	16445
592	23900	16404
593	23938	16362
594	23976	16320
595	24011	16276
596	24046	16232
597	24082	16189
598	24114	16143
599	24145	16097
600	24182	16054
601	24223	16014
602	24257	15970
603	24293	15927
604	24327	15883
605	24361	15838
606	24400	15798
607	24436	15754
608	24475	15714
609	24510	15670
610	24549	15629
611	24588	15588
612	24626	15547
613	24662	15504
614	24698	15461
615	24730	15416
616	24764	15372
617	24800	15329
618	24837	15287
619	24873	15244
620	24903	15198
621	24943	15158
622	24975	15113
623	25012	15071
624	25051	15031
625	25087	14988
626	25125	14947
627	25166	14907
628	25210	14869
629	25247	14827
630	25288	14788
631	25328	14748
632	25362	14704
633	25398	14662
634	25435	14620
635	25474	14579
636	25508	14536
637	25544	14493
638	25579	14450
639	25610	14406
640	25645	14363
641	25681	14320
642	25722	14281
643	25759	14239
644	25796	14198
645	25827	14153
646	25866	14112
647	25900	14069
648	25936	14027
649	25973	13985
650	26021	13949
651	26065	13912
652	26101	13870
653	26134	13826
654	26169	13783
655	26203	13740
656	26241	13699
657	26277	13657
658	26315	13616
659	26354	13576
660	26389	13533
661	26422	13490
662	26456	13447
663	26490	13404
664	26526	13363
665	26569	13324
666	26604	13282
667	26645	13243
668	26681	13201
669	26722	13161
670	26762	13121
671	26797	13079
672	26830	13036
673	26873	12997
674	26907	12955
675	26946	12915
676	27001	12882
677	27038	12841
678	27080	12802
679	27118	12761
680	27152	12718
681	27187	12676
682	27220	12633
683	27255	12591
684	27296	12552
685	27336	12512
686	27375	12472
687	27412	12431
688	27447	12389
689	27486	12349
690	27522	12307
691	27563	12268
692	27602	12228
693	27639	12186
694	27679	12147
695	27715	12105
696	27751	12064
697	27790	12023
698	27834	11986
699	27872	11945
700	27906	11903
701	27940	11860
702	27977	11819
703	28014	11778
704	28051	11737
705	28103	11702
706	28144	11663
707	28178	11621
708	28214	11580
709	28251	11539
710	28294	11500
711	28327	11458
712	28362	11416
713	28395	11374
714	28429	11332
715	28467	11291
716	28503	11250
717	28539	11209
718	28576	11168
719	28616	11128
720	28657	11089
721	28698	11050
722	28740	11011
723	28779	10971
724	28812	10929
725	28848	10887
726	28887	10847
727	28924	10807
728	28966	10768
729	29004	10727
730	29038	10685
731	29079	10646
732	29120	10607
733	29155	10565
734	29188	10523
735	29223	10482
736	29257	10440
737	29295	10400
738	29341	10362
739	29377	10321
740	29410	10279
741	29446	10238
742	29492	10201
743	29531	10161
744	29573	10122
745	29608	10081
746	29645	10040
747	29694	10003
748	29730	9963
749	29765	9921
750	29810	9883
751	29844	9842
752	29885	9803
753	29923	9762
754	29958	9721
755	29991	9679
756	30030	9639
757	30067	9599
758	30105	9559
759	30143	9518
760	30180	9478
761	30218	9438
762	30258	9398
763	30296	9358
764	30332	9317
765	30370	9277
766	30405	9236
767	30439	9195
768	30480	9155
769	30520	9116
770	30556	9075
771	30593	9035
772	30626	8993
773	30667	8954
774	30707	8915
775	30742	8874
776	30782	8834
777	30818	8793
778	30862	8755
779	30898	8715
780	30933	8674
781	30971	8634
782	31008	8593
783	31045	8553
784	31085	8513
785	31125	8474
786	31161	8433
787	31200	8394
788	31239	8354
789	31275	8313
790	31315	8274
791	31354	8234
792	31397	8195
793	31435	8155
794	31476	8116
795	31519	8077
796	31560	8038
797	31618	8003
798	31662	7965
799	31707	7926
800	31753	7888
801	31791	7848
802	31837	7810
803	31881	7772
804	31924	7733
805	31963	7693
806	32003	7653
807	32042	7614
808	32094	7577
809	32133	7537
810	32169	7497
811	32209	7457
812	32247	7417
813	32289	7378
814	32329	7338
815	32367	7298
816	32408	7259
817	32447	7219
818	32480	7178
819	32522	7139
820	32564	7099
821	32604	7060
822	32642	7020
823	32686	6981
824	32729	6942
825	32770	6903
826	32812	6863
827	32854	6824
828	32890	6784
829	32932	6745
830	32972	6705
831	33014	6666
832	33058	6627
833	33096	6587
834	33137	6548
835	33178	6508
836	33218	6469
837	33256	6429
838	33298	6389
839	33346	6351
840	33387	6312
841	33425	6272
842	33465	6232
843	33505	6192
844	33544	6153
845	33585	6113
846	33623	6073
847	33669	6035
848	33712	5996
849	33752	5956
850	33798	5917
851	33837	5877
852	33882	5839
853	33930	5800
854	33974	5761
855	34017	5722
856	34066	5684
857	34109	5645
858	34149	5605
859	34199	5567
860	34239	5527
861	34280	5488
862	34321	5448
863	34360	5408
864	34399	5368
865	34443	5329
866	34484	5289
867	34526	5250
868	34572	5211
869	34611	5171
870	34653	5132
871	34700	5093
872	34748	5055
873	34795	5016
874	34856	4979
875	34904	4940
876	34948	4901
877	34991	4862
878	35032	4822
879	35069	4782
880	35107	4742
881	35155	4703
882	35196	4663
883	35236	4623
884	35278	4584
885	35318	4544
886	35364	4505
887	35406	4465
888	35448	4426
889	35488	4386
890	35530	4346
891	35574	4307
892	35615	4267
893	35656	4227
894	35698	4188
895	35740	4148
896	35783	4108
897	35822	4068
898	35873	4030
899	35917	3990
900	35961	3951
901	36007	3912
902	36048	3872
903	36094	3833
904	36138	3793
905	36179	3753
906	36219	3713
907	36269	3674
908	36312	3635
909	36352	3595
910	36390	3555
911	36427	3514
912	36473	3475
913	36514	3435
914	36555	3395
915	36601	3356
916	36645	3316
917	36685	3276
918	36727	3237
919	36769	3197
920	36812	3157
921	36859	3118
922	36908	3079
923	36951	3039
924	36988	2999
925	37029	2959
926	37066	2918
927	37108	2879
928	37151	2839
929	37190	2799
930	37233	2759
931	37281	2720
932	37323	2680
933	37361	2640
934	37404	2600
935	37446	2560
936	37487	2520
937	37528	2480
938	37571	2440
939	37616	2401
940	37666	2361
941	37718	2322
942	37759	2282
943	37799	2242
944	37839	2202
945	37887	2162
946	37933	2122
947	37973	2082
948	38013	2042
949	38056	2002
950	38094	1962
951	38142	1923
952	38186	1883
953	38230	1843
954	38274	1803
955	38314	1763
956	38360	1723
957	38403	1683
958	38444	1643
959	38486	1603
960	38526	1563
961	38565	1523
962	38606	1483
963	38650	1443
964	38695	1403
965	38745	1363
966	38786	1323
967	38830	1283
968	38877	1243
969	38916	1203
970	38959	1163
971	39001	1123
972	39042	1083
973	39088	1043
974	39132	1003
975	39180	963
976	39223	923
977	39265	883
978	39307	843
979	39352	803
980	39398	763
981	39442	722
982	39479	682
983	39519	642
984	39566	602
985	39611	562
986	39653	522
987	39696	482
988	39736	441
989	39780	401
990	39824	361
991	39866	321
992	39920	281
993	39967	241
994	40008	201
995	40046	160
996	40086	120
997	40125	80
998	40167	40
999	40210	0
