iter	Logloss
132	0.1677640534
133	0.1675465261
134	0.1672976062
135	0.1671808804
136	0.1669739627
137	0.1667544523
138	0.1665475743
139	0.1664899452
140	0.1664002491
141	0.1663632245
142	0.166260192
143	0.1661344034
144	0.166071985
145	0.1659828938
146	0.1659656506
147	0.1657568788
148	0.1656587843
149	0.1655092479
150	0.1653128407
151	0.165128005
152	0.1649947301
153	0.1646431049
154	0.1643868574
155	0.1642942958
156	0.1642782822
157	0.1641707282
158	0.1640515136
159	0.1640232245
160	0.1638793797
161	0.1638006403
162	0.1637234676
163	0.1636418031
164	0.1634565311
165	0.1633849706
166	0.1633095133
167	0.1632462025
168	0.1631534921
169	0.1630919265
170	0.1630391163
171	0.1629431933
172	0.1627719716
173	0.1627076098
174	0.1625941957
175	0.1624673362
176	0.1623265652
177	0.1622128041
178	0.1621485712
179	0.1620579133
180	0.1619650245
181	0.1619002958
182	0.1618343574
183	0.1617861975
184	0.1617381567
185	0.1616434037
186	0.1615371785
187	0.1614876206
188	0.1613773795
189	0.1611854442
190	0.1610229879
191	0.1609965332
192	0.1609498409
193	0.1608806899
194	0.1607742266
195	0.1607053136
196	0.1605316626
197	0.1604808256
198	0.1604083131
199	0.1603881449
200	0.1603669752
201	0.160272252
202	0.1602248358
203	0.1600739113
204	0.1600257614
205	0.1599801003
206	0.1599496199
207	0.1598091662
208	0.1597860828
209	0.1596609287
210	0.1596380535
211	0.1595621401
212	0.1593776018
213	0.1593610825
214	0.1593305327
215	0.1593047126
216	0.1592720607
217	0.1592432957
218	0.1592151951
219	0.1590752569
220	0.1590471365
221	0.1589410599
222	0.158825633
223	0.158782669
224	0.1585887704
225	0.1584789557
226	0.1584491297
227	0.1583186511
228	0.1582969459
229	0.158253734
230	0.1582201698
231	0.1582076465
232	0.1580116756
233	0.1579712598
234	0.1579405315
235	0.1578833287
236	0.1578712119
237	0.1576767284
238	0.1576048803
239	0.1575567007
240	0.1573728763
241	0.1572729673
242	0.1572169742
243	0.1571031139
244	0.1570396643
245	0.1568409865
246	0.1568070852
247	0.1567609978
248	0.156646027
249	0.1566294779
250	0.1565520474
251	0.1564400612
252	0.1564089165
253	0.1563118929
254	0.1562565839
255	0.1562461825
256	0.1561739973
257	0.1561304681
258	0.1560287445
259	0.1559286073
260	0.1559049786
261	0.1558635217
262	0.1557943508
263	0.1557431172
264	0.1556856268
265	0.1555760303
266	0.1554134153
267	0.155288995
268	0.155167946
269	0.1551065588
270	0.1550713091
271	0.1550383002
272	0.1550007599
273	0.15491387
274	0.1548210307
275	0.1546561946
276	0.154617405
277	0.1545141247
278	0.1544503082
279	0.1543587381
280	0.1543112724
281	0.1542597314
282	0.1541336552
283	0.1540386543
284	0.1540041779
285	0.1539531129
286	0.1538753353
287	0.1538531344
288	0.1538267194
289	0.1538087921
290	0.1537431908
291	0.1537055315
292	0.1536064653
293	0.153481579
294	0.153436017
295	0.1533639905
296	0.1532042312
297	0.1531911922
298	0.1531384415
299	0.1530854727
300	0.1529496098
301	0.1528710985
302	0.152750694
303	0.1527277296
304	0.1527004321
305	0.1526858463
306	0.1525826949
307	0.1525426956
308	0.1524667325
309	0.152448478
310	0.1523950729
311	0.152274361
312	0.1522113576
313	0.1521677094
314	0.1520346625
315	0.1519884263
316	0.1518807931
317	0.151841815
318	0.1518080328
319	0.1517576915
320	0.1517298288
321	0.1515966729
322	0.1515004128
323	0.1513534049
324	0.1512826376
325	0.151179159
326	0.1511565813
327	0.1511531901
328	0.1511482324
329	0.151088987
330	0.151021353
331	0.1509365652
332	0.1509220191
333	0.1509096147
334	0.1507840541
335	0.1506907984
336	0.150657968
337	0.1505901556
338	0.1505282528
339	0.1504394987
340	0.1503754046
341	0.1503062933
342	0.1501358351
343	0.150075727
344	0.1500497285
345	0.1500239381
346	0.1499027701
347	0.1498911094
348	0.1498463011
349	0.1497530453
350	0.1497361195
351	0.149705064
352	0.1496380448
353	0.1496234392
354	0.1496208215
355	0.1495493998
356	0.1495340704
357	0.1495255232
358	0.149443472
359	0.1494074191
360	0.1493015607
361	0.149255969
362	0.1492463013
363	0.1492169513
364	0.1491892274
365	0.1491690592
366	0.149021387
367	0.1490019128
368	0.1488984639
369	0.1488882806
370	0.1488680133
371	0.1488222828
372	0.1488063187
373	0.1487446837
374	0.1487313869
375	0.148714233
376	0.1486827908
377	0.1485621087
378	0.148555257
379	0.1484492995
380	0.1483282406
381	0.1481810145
382	0.1481702661
383	0.1481566421
384	0.1480269963
385	0.1478855708
386	0.147853385
387	0.1478462061
388	0.1477798017
389	0.1477671792
390	0.1477149143
391	0.1475408866
392	0.1475158696
393	0.1474658358
394	0.1474561384
395	0.147449485
396	0.1474319444
397	0.1473184511
398	0.1472108674
399	0.1471861182
400	0.1471752507
401	0.1471494505
402	0.1471311959
403	0.1471045826
404	0.1470139644
405	0.1469830874
406	0.1469718035
407	0.1469634249
408	0.1468747105
409	0.1467894169
410	0.1467232505
411	0.1466337527
412	0.146623857
413	0.1466192859
414	0.1465978188
415	0.1465841254
416	0.1465373835
417	0.1464095027
418	0.1463559587
419	0.1463449227
420	0.1462186978
421	0.1461796801
422	0.1461670675
423	0.1461571024
424	0.1460524636
425	0.1459743886
426	0.145907885
427	0.1459040081
428	0.1458850594
429	0.1457594889
430	0.1457483339
431	0.1457431481
432	0.145724963
433	0.1457191922
434	0.1457109622
435	0.1456745821
436	0.1456229717
437	0.1455479308
438	0.1455248672
439	0.1454089743
440	0.1454036893
441	0.1453945174
442	0.1453380385
443	0.1453302449
444	0.1452007081
445	0.1451751359
446	0.1451520426
447	0.1451353944
448	0.1450044001
449	0.1449960711
450	0.1449052942
451	0.1448984029
452	0.144877263
453	0.1448059702
454	0.1447978493
455	0.1447355202
456	0.1447214996
457	0.1447076377
458	0.1446963637
459	0.1446859028
460	0.1446190423
461	0.1446145307
462	0.1445249834
463	0.1445216716
464	0.1444598085
465	0.1444411177
466	0.1443098656
467	0.1443059192
468	0.144288557
469	0.144255568
470	0.1442534461
471	0.1442495691
472	0.1442421424
473	0.144154122
474	0.144083682
475	0.1439787953
476	0.1438702201
477	0.1438674437
478	0.1438656292
479	0.1437918178
480	0.1436750623
481	0.1436327526
482	0.143535848
483	0.1435187833
484	0.1435020161
485	0.1434805589
486	0.1433931037
487	0.1433061245
488	0.1432647569
489	0.1431784123
490	0.143109529
491	0.1430266449
492	0.1430199916
493	0.1430143496
494	0.142920608
495	0.1428884321
496	0.1428431676
497	0.1428375951
498	0.1428224838
499	0.1428184977
500	0.1428006398
501	0.1427896633
502	0.1427322126
503	0.1427199471
504	0.1427144737
505	0.1426362499
506	0.142600316
507	0.1425701628
508	0.1425675352
509	0.1424782655
510	0.1424722765
511	0.1423552433
512	0.1422906832
513	0.1421492676
514	0.1420869484
515	0.1420016251
516	0.1419937323
517	0.1418942298
518	0.1418588908
519	0.1418388416
520	0.1417759373
521	0.1416925872
522	0.1416157417
523	0.1414973699
524	0.1414962197
525	0.1414471477
526	0.1414458586
527	0.1414386996
528	0.1414294881
529	0.141398621
530	0.1413703319
531	0.1413441251
532	0.141339911
533	0.141337918
534	0.141279912
535	0.1412265267
536	0.1411417785
537	0.1410677292
538	0.1410559892
539	0.1409615139
540	0.1408990757
541	0.1407800693
542	0.1407696976
543	0.1407594053
544	0.140730323
545	0.1406438495
546	0.1406346776
547	0.1405227806
548	0.1404243787
549	0.1404099318
550	0.1403007715
551	0.1402527604
552	0.1402494784
553	0.1402405345
554	0.1402314618
555	0.1401439373
556	0.1400733683
557	0.1400678057
558	0.1400644443
559	0.1400234237
560	0.1400104046
561	0.1398922212
562	0.139870516
563	0.139752987
564	0.1397414553
565	0.1397060865
566	0.1397020806
567	0.1396614566
568	0.1396484177
569	0.13964462
570	0.1395526632
571	0.1395078549
572	0.1394905721
573	0.1393743321
574	0.1393023948
575	0.1392192331
576	0.1391594423
577	0.1391413365
578	0.1391303898
579	0.1390282001
580	0.1390225979
581	0.1390038079
582	0.138837306
583	0.1388346586
584	0.1387936478
585	0.1386860542
586	0.1386129072
587	0.138540375
588	0.1385219321
589	0.1385172619
590	0.1385088931
591	0.1384074472
592	0.138286061
593	0.1382208068
594	0.1382064987
595	0.1381069267
596	0.1380104881
597	0.1380001561
598	0.1379424575
599	0.1378753888
600	0.1378706095
601	0.1378678133
602	0.1378657905
603	0.1378126134
604	0.1377657823
605	0.1376442078
606	0.13757585
607	0.1375739264
608	0.1375533516
609	0.1375481459
610	0.1374630309
611	0.1373894873
612	0.1373096076
613	0.1372673079
614	0.1372630938
615	0.1372607239
616	0.1372297775
617	0.1372058612
618	0.1372011811
619	0.1370735481
620	0.1370568504
621	0.1369137095
622	0.1368627833
623	0.1367629039
624	0.1367493296
625	0.1365772155
626	0.136561658
627	0.1364932407
628	0.136459855
629	0.1364321213
630	0.1364243375
631	0.1363369419
632	0.1362292789
633	0.1362257192
634	0.1362237956
635	0.1362211481
636	0.1361288939
637	0.1360985721
638	0.1360055048
639	0.1360006462
640	0.1359883707
641	0.1359520699
642	0.1358892648
643	0.1358577036
644	0.1358547686
645	0.1358513279
646	0.1358483334
647	0.1358456265
648	0.135843217
649	0.1358389434
650	0.1357510421
651	0.1357004926
652	0.1356990747
653	0.1356971114
654	0.1356895657
655	0.1356842708
656	0.1356544547
657	0.1356439046
658	0.1355668905
659	0.1355611494
660	0.1354999507
661	0.1354950623
662	0.1354738926
663	0.1354405764
664	0.1354382859
665	0.1354323564
666	0.1354189208
667	0.1354159362
668	0.1354142803
669	0.135355967
670	0.1352819177
671	0.1352540054
672	0.1351511415
673	0.1351490295
674	0.1351447162
675	0.1351222476
676	0.1350612868
677	0.1350594921
678	0.1350562398
679	0.1349597714
680	0.1349584725
681	0.1347977415
682	0.1347677469
683	0.1346340556
684	0.1345345233
685	0.1344860264
686	0.134368428
687	0.1343671984
688	0.13423199
689	0.1341690759
690	0.1341441779
691	0.134023
692	0.1339396004
693	0.1338289825
694	0.1338265829
695	0.1338243222
696	0.1337509075
697	0.133722549
698	0.1336879437
699	0.1336405772
700	0.1336382569
701	0.133578486
702	0.133577078
703	0.1334822159
704	0.1334587458
705	0.1334566933
706	0.1334338082
707	0.1334287315
708	0.1332803651
709	0.1332274459
710	0.1332076743
711	0.1331902923
712	0.1331316617
713	0.1331293315
714	0.1331078941
715	0.1330305231
716	0.1329918128
717	0.1328977935
718	0.1327874632
719	0.1326852141
720	0.1326837169
721	0.1326742673
722	0.1326493991
723	0.1326442232
724	0.1326111846
725	0.1325672587
726	0.1325433028
727	0.132536937
728	0.132480577
729	0.1324439589
730	0.1323479962
731	0.1322772885
732	0.1321974881
733	0.1321854011
734	0.1321826148
735	0.1321526401
736	0.1320733554
737	0.1319553901
738	0.1319260401
739	0.1317590424
740	0.1316482957
741	0.131584033
742	0.1315300924
743	0.1315205735
744	0.1314437974
745	0.1314233714
746	0.1313228674
747	0.1312105044
748	0.1311409369
749	0.1311338076
750	0.1311110019
751	0.1310145037
752	0.1308984621
753	0.1308246111
754	0.1308143187
755	0.1308027771
756	0.1307487076
757	0.1307137255
758	0.1306340144
759	0.1306322792
760	0.1305458255
761	0.1304510032
762	0.1304002851
763	0.1303970328
764	0.1303459678
765	0.1303292898
766	0.1302512544
767	0.1302457811
768	0.1302202287
769	0.1301902044
770	0.130080122
771	0.1300592398
772	0.1300472321
773	0.1299332826
774	0.1298427438
775	0.1297412681
776	0.1296594251
777	0.1296147159
778	0.129557295
779	0.1295294819
780	0.1295241671
781	0.1295202307
782	0.129473221
783	0.1294721799
784	0.1294595673
785	0.1294106738
786	0.1294022753
787	0.1294010061
788	0.1293623355
789	0.1293603028
790	0.1293382704
791	0.1293364162
792	0.1293199168
793	0.1292849644
794	0.1292808792
795	0.1292398289
796	0.1291469202
797	0.1291456807
798	0.1291446892
799	0.1291410006
800	0.1291088544
801	0.1290392671
802	0.1290373137
803	0.1289699177
804	0.1289680536
805	0.1288877872
806	0.1288867858
807	0.128800342
808	0.128799519
809	0.1287974169
810	0.1287239526
811	0.1286863529
812	0.1285851052
813	0.128582319
814	0.1284946159
815	0.1284679927
816	0.1284166004
817	0.1284081722
818	0.1283993969
819	0.1283973345
820	0.1283358184
821	0.1282302972
822	0.1281984088
823	0.1281930345
824	0.128120889
825	0.1281012166
826	0.1280856789
827	0.1280191456
828	0.1280146439
829	0.1279863549
830	0.1279489237
831	0.127915657
832	0.1279151216
833	0.1279121965
834	0.1278311369
835	0.1277727145
836	0.1276951253
837	0.1276842876
838	0.1276825524
839	0.1276514771
840	0.1275959896
841	0.1275101607
842	0.127436508
843	0.1273928201
844	0.1273907081
845	0.1273366782
846	0.1272551526
847	0.127176086
848	0.1271695418
849	0.1271507915
850	0.1270614226
851	0.126982366
852	0.1269398084
853	0.1269104981
854	0.1268509849
855	0.126815051
856	0.1267506495
857	0.1266771356
858	0.1265739941
859	0.1264996077
860	0.1264886014
861	0.1264137588
862	0.1263747808
863	0.1263525898
864	0.1262872265
865	0.1262007035
866	0.1261936039
867	0.1261812293
868	0.1261322168
869	0.1260689457
870	0.1260176129
871	0.1259693737
872	0.1258575462
873	0.1258425737
874	0.1258342942
875	0.1258334216
876	0.1257554359
877	0.1257080395
878	0.1257056102
879	0.1255784532
880	0.1255722957
881	0.1255385531
882	0.1255070216
883	0.1255060102
884	0.1254913848
885	0.1253980299
886	0.1253912874
887	0.1253158598
888	0.1252686221
889	0.1251964468
890	0.1251588173
891	0.1250687048
892	0.1249186528
893	0.1248806366
894	0.1248742114
895	0.1248562146
896	0.1248192296
897	0.1247332618
898	0.1246291387
899	0.1245245296
900	0.1244883379
901	0.1244297568
902	0.1243692918
903	0.1243153909
904	0.1242511084
905	0.1241227615
906	0.1241017505
907	0.1240907343
908	0.1240562282
909	0.1240506557
910	0.1240129766
911	0.1239224774
912	0.1238778872
913	0.1238617149
914	0.123804056
915	0.1237568481
916	0.1236519416
917	0.123583207
918	0.1235160787
919	0.1234490992
920	0.1233595023
921	0.1233161813
922	0.1232947637
923	0.123233446
924	0.1232312943
925	0.1231397837
926	0.1231277065
927	0.1230939342
928	0.1230919709
929	0.1230440491
930	0.1230286205
931	0.1229407588
932	0.122930754
933	0.1228730257
934	0.1228694462
935	0.1228438442
936	0.12281616
937	0.1227496763
938	0.1227214963
939	0.1225944583
940	0.1225469331
941	0.1225051688
942	0.1224950351
943	0.1224228697
944	0.1223201149
945	0.1223014142
946	0.1222996393
947	0.1222984593
948	0.1222835563
949	0.1222586782
950	0.1222368243
951	0.1221811981
952	0.1221780747
953	0.1221174708
954	0.1220972134
955	0.1220899552
956	0.1220783143
957	0.1220481612
958	0.1219638493
959	0.1219616381
960	0.1219357982
961	0.1218578322
962	0.1217864502
963	0.1217499213
964	0.1217488306
965	0.1217091783
966	0.121683854
967	0.1216024275
968	0.1215577084
969	0.1215524135
970	0.1215125034
971	0.1214324651
972	0.1213445539
973	0.1213191205
974	0.1213032953
975	0.121295928
976	0.1212486408
977	0.1212296723
978	0.1211479286
979	0.1211392227
980	0.1211346814
981	0.1211251327
982	0.1210506075
983	0.1209192661
984	0.1208330802
985	0.1208059909
986	0.1207197256
987	0.1207169493
988	0.120707113
989	0.1206698306
990	0.120646301
991	0.1205599167
992	0.1205478594
993	0.1204829721
994	0.120475109
995	0.1204669783
996	0.1204006433
997	0.1203520571
998	0.1203223699
999	0.120243809
